element_a,element_b,result,sources
"(unordered ingredient pairs), sorted by result. format: `a",b,result,little-alchemy
1up,corpse,man,clones
1up,corpse,man (zed's alchemy),clones
1up,dinosaur,yoshi,clones
1up,egg,yoshi,clones
1up,frog,kangaroo,clones
1up,man,mario,clones
1up,mario,mario,clones
acid,air,poison,clones
acid,bat,wings,clones
acid,cellulose,gunpowder,clones
acid,oil,tnt,clones
acid rain,planet,venus,little-alchemy
activated carbon,rubber,gas mask,clones
active robot,air + glass + metals,ufo,clones
active robot,alien,radioactivity,clones
active robot,alien,undefined dead lifeform,clones
active robot,cuzn battery + radioactivity,atom battery,clones
active robot,earth + metals,drilling rig,clones
active robot,ice + metals,freezer,clones
active robot,metals,container,clones
active robot,metals + plutonium,atom bomb,clones
active robot,metals + steam,steam turbine,clones
active robot,metals + water,incomplete boiler,clones
active robot,metals + water + water,electricity,clones
active robot,metals + water + water,water turbine,clones
active robot,metals + wind,electricity,clones
active robot,metals + wind,wind turbine,clones
active robot,radioactivity + znc battery,atom battery,clones
adam,eve,human,infinite-craft
adam,venus,eve,infinite-craft
adobe,art,photoshop,infinite-craft
adventures,dragon,ash,clones
adventures,dragon,ash (doodle god),clones
adventures,dragon,steak,clones
adventures,quest,experience,clones
adventures,quest,gold,clones
affliction,affliction,pestilence,clones
affliction,angel,blood angel,clones
affliction,anger,road rage,clones
affliction,apocalypse,zombie outbreak,clones
affliction,arachnid,arachne,clones
affliction,arcade,zombie outbreak,clones
affliction,bat,vampire,clones
affliction,bear,zombie bear,clones
affliction,beauty,sleeping princess,clones
affliction,bird,bird flu,clones
affliction,blob,mind slug,clones
affliction,blood,virus,clones
affliction,bone,wight,clones
affliction,camouflage,posession,clones
affliction,card,scratch lottery,clones
affliction,cat,flea,clones
affliction,celebration,party animal albert,clones
affliction,chinchilla,chinzombie,clones
affliction,cursed,pestilence,clones
affliction,darkness,inner demons,clones
affliction,death,undead,clones
affliction,demon,inner demons,clones
affliction,desert,desert pirate,clones
affliction,destruction,pestilence,clones
affliction,dog,flea,clones
affliction,dragon,plague dragon,clones
affliction,earth,stonescale,clones
affliction,elf,demonic elf,clones
affliction,energy,sugar demon,clones
affliction,extraterrestrial,space zombie,clones
affliction,fairy tale,cursed,clones
affliction,fire,sun burn,clones
affliction,fish,tongue parasite,clones
affliction,food,cursed apple,clones
affliction,galaxy wars,insidious emperor,clones
affliction,giant,zombie giant,clones
affliction,golem,stonescale,clones
affliction,halloween,sugar demon,clones
affliction,hammer,cavities,clones
affliction,healing,doctor,clones
affliction,holidays,black friday,clones
affliction,holy water,divine healer,clones
affliction,hopefulness,relentless friend,clones
affliction,horn,plague dragon,clones
affliction,horse,pestilence's horse,clones
affliction,human,inner demons,clones
affliction,hybrid,werebear,clones
affliction,ice,hypothermia,clones
affliction,immortality,dorian gray,clones
affliction,insect,black death,clones
affliction,invention,radiation sickness,clones
